results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,,labels
Harry Potter and the Chamber of Secrets,12,174,13/11/2002,7.7,17319,100000000,11.28,,TRUE
Harry Potter and the Goblet of Fire,12,174,16/11/2005,7.8,16362,150000000,11.28,,TRUE
Harry Potter and the Deathly Hallows: Part 1,12,174,17/10/2010,7.8,15268,250000000,11.28,,TRUE
Major Grom: Plague Doctor,28,86050,01/04/2021,6.8,352,5000000,2.229,,FALSE
Malignant,27,174,01/09/2021,7,1054,40000000,29.398,,FALSE
Hancock,14,41756,01/07/2008,6.3,7710,150000000,20.242,,TRUE
The Wolf of Wall Street,80,14654,25/12/2013,8,18693,100000000,19.353,,TRUE
Roald Dahl's The Witches,10751,11395,25/10/2020,6.5,1972,45,21.4,,FALSE
Harry Potter and the Half-Blood Prince,12,174,07/07/2009,7.7,15337,250000000,11.28,,TRUE
Night Teeth,27,84988,20/10/2021,6.7,342,21700000,3.43,,FALSE
Dragon Ball Z: Resurrection 'F',28,7485,18/04/2015,6.8,1251,5000000,3.024,,TRUE
How the Grinch Stole Christmas,10751,33,17/11/2000,6.7,5570,123000000,16.29,,TRUE
Crank: High Voltage,28,1632,16/04/2009,6,2134,20000000,36.825,,TRUE
Harry Potter and the Order of the Phoenix,12,174,28/06/2007,7.7,15580,150000000,11.28,,TRUE
Hacksaw Ridge,18,50481,07/10/2016,8.2,10211,40000000,37.019,,TRUE
The Maze Runner,28,290,10/09/2014,7.2,14036,34000000,9.771,,TRUE
Iron Man 2,12,420,28/04/2010,6.8,17001,200000000,20.481,,TRUE
Undisputed III: Redemption,28,50457,22/05/2010,7.5,571,3000000,11.356,,FALSE
Deadpool,28,25,09/02/2016,7.6,25820,58000000,41.155,,TRUE
The Twilight Saga: Eclipse,12,491,23/06/2010,6.2,7189,68000000,22.187,,TRUE
Legion,27,3287,21/01/2010,5.8,1942,26000000,4.685,,TRUE
Toy Story,16,3,30/10/1995,8,14718,30000000,22.904,,TRUE
Frozen II,10751,2,20/11/2019,7.3,7787,150000000,10.863,,TRUE
Mulan,12,2,04/09/2020,7,5280,200000000,13.861,,FALSE
Ted 2,35,44783,25/06/2015,6.3,5929,68000000,24.719,,TRUE
Werewolves Within,35,83857,25/06/2021,6.2,202,6500000,4.137,,FALSE
Nobody,28,33,18/03/2021,8.3,3690,17000000,7.771,,TRUE
The Grinch,16,33,08/11/2018,6.8,2714,75000000,22.732,,TRUE
Captain America: Civil War,12,420,27/04/2016,7.4,18897,250000000,11.369,,TRUE
Jiu Jitsu,14,141998,20/11/2020,5.1,448,23000000,21.264,,FALSE
Percy Jackson & the Olympians: The Lightning Thief,12,436,01/02/2010,6.2,6049,95000000,8.81,,TRUE
Kids Are Back,35,21172,02/06/2021,5.4,28,8116935,2.086,,FALSE
"Monsters, Inc.",16,3,01/11/2001,7.8,14861,115000000,8.338,,TRUE
Pixels,28,34,16/07/2015,5.7,6213,88000000,7.896,,TRUE
Shrek,16,521,18/05/2001,7.7,13143,60000000,5.468,,TRUE
Avengers: Age of Ultron,28,420,22/04/2015,7.3,18843,365000000,20.481,,TRUE
Frozen,16,2,20/11/2013,7.3,13697,150000000,10.863,,TRUE
Five Feet Apart,10749,84409,14/03/2019,8.4,4497,7000000,6.951,,TRUE
Sex and the City,35,1694,12/05/2008,6.6,1713,65000000,4.574,,TRUE
Ninja Assassin,28,923,29/09/2009,6.5,1059,40000000,1.304,,TRUE
The Hangover,35,923,02/06/2009,7.3,13883,35000000,11.726,,TRUE
Big Hero 6,12,2,24/10/2014,7.8,13162,165000000,2.392,,TRUE
Real Steel,28,9195,28/09/2011,6.9,6350,110000000,12.278,,TRUE
Star Trek,878,4,06/05/2009,7.4,8226,150000000,10.813,,TRUE
Bride of Chucky,27,33,16/10/1998,5.9,1314,25000000,5.585,,TRUE
The Hobbit: The Battle of the Five Armies,28,174,10/12/2014,7.3,11484,250000000,5.127,,TRUE
Thor,12,420,21/04/2011,6.8,17344,150000000,16.885,,TRUE
The Last Airbender,28,4,30/06/2010,4.7,3104,150000000,2.851,,TRUE
Toy Story 2,16,3,30/10/1999,7.6,11054,90000000,22.904,,TRUE
Deadpool 2,28,7505,10/05/2018,7.5,13967,110000000,41.155,,TRUE
Spider-Man 2,28,19551,25/06/2004,7.1,11633,200000000,11.674,,TRUE
Abraham Lincoln: Vampire Hunter,28,1038,20/06/2012,5.7,2638,69000000,1.75,,TRUE
Doctor Strange,28,420,25/10/2016,7.4,17800,165000000,22.732,,TRUE
The Lion King,10751,2,23/06/1994,8.3,14671,45000000,5.769,,TRUE
San Andreas,28,12,27/05/2015,6.2,6898,110000000,49.662,,TRUE
Pirates of the Caribbean: On Stranger Tides,12,2,14/05/2011,6.5,11401,380000000,17.926,,TRUE
Journey 2: The Mysterious Island,12,10221,19/01/2012,6.1,3315,79000000,49.662,,TRUE
Inception,28,923,15/07/2010,8.3,30307,160000000,19.353,,TRUE
Fifty Shades of Grey,18,10146,11/02/2015,5.9,9887,40000000,9.619,,TRUE
Ashfall,28,103323,19/12/2019,6.4,331,17700000,9.814,,TRUE
Brothers,18,1632,22/01/2009,7,1929,26000000,11.674,,TRUE
Escape Room: Tournament of Champions,27,333,01/07/2021,6.9,748,15000000,10.495,,TRUE
Chaos Walking,878,80680,24/02/2021,6.8,1380,125000000,47.988,,FALSE
Toy Story 4,10751,2,19/06/2019,7.6,7518,175000000,22.904,,TRUE
Spiral: From the Book of Saw,27,2061,12/05/2021,6.3,967,20000000,6.044,,TRUE
Home Alone 2: Lost in New York,35,25,19/11/1992,6.7,7326,18000000,9.289,,TRUE
The Parent Trap,35,2,28/07/1998,7.1,3076,15000000,5.198,,TRUE
It Chapter Two,27,2723,04/09/2019,6.9,6460,79000000,14.485,,TRUE
2012,28,5,10/10/2009,5.8,10029,200000000,6.398,,TRUE
Transformers: Age of Extinction,878,22826,25/06/2014,5.9,6420,210000000,24.719,,TRUE
Ratatouille,16,3,28/06/2007,7.8,13247,150000000,8.72,,TRUE
Ghostbusters,28,84042,14/07/2016,5.4,5233,144000000,18.605,,TRUE
Jack Reacher,80,82819,20/12/2012,6.5,5482,60000000,18.064,,TRUE
Teenage Mutant Ninja Turtles,878,2348,07/08/2014,5.9,5644,125000000,15.591,,TRUE
Cirque du Freak: The Vampire's Assistant,12,33,23/10/2009,5.7,843,40000000,1.641,,FALSE
Coraline,16,10146,05/02/2009,7.8,5390,60000000,8.183,,TRUE
World War Z,28,3281,20/06/2013,6.8,12508,200000000,14.959,,TRUE
After Porn Ends 2,99,86249,28/03/2017,5.5,186,500000,8.804,,FALSE
The Simpsons Movie,16,80853,25/07/2007,7,6473,75000000,8.73,,TRUE
Sonic the Hedgehog,28,333,12/02/2020,7.4,7268,85000000,5.242,,TRUE
Fast & Furious Presents: Hobbs & Shaw,28,25998,01/08/2019,6.9,5453,200000000,49.662,,TRUE
Iron Man 3,28,420,18/04/2013,6.9,18595,200000000,20.481,,TRUE
Este amor es de otro planeta,35,2864,31/03/2021,4.5,2,720000,0.6,,FALSE
The Conjuring,27,31375,20/03/2013,7.5,8876,13000000,19.162,,TRUE
G.I. Joe: The Rise of Cobra,12,4,03/08/2009,5.7,3753,175000000,7.718,,TRUE
Fifty Shades Freed,18,33,17/01/2018,6.7,6600,55000000,9.619,,TRUE
The Kids Are Alright: Destination Asturias,35,91991,08/07/2021,4.7,37,5308245,1.467,,FALSE
Fury,10752,5,15/10/2014,7.5,9496,68000000,14.959,,TRUE
Ice Age,16,25,10/03/2002,7.3,10546,59000000,6.698,,TRUE
The Karate Kid,28,2596,10/06/2010,6.5,4678,40000000,2.903,,TRUE
Candyman,27,21,25/08/2021,6.3,626,25000000,7.101,,TRUE
Hotel Transylvania 3: Summer Vacation,10751,5,28/06/2018,6.9,3356,80000000,7.896,,TRUE
Zack and Miri Make a Porno,35,2599,18/09/2008,6.3,1771,24000000,9.181,,TRUE
Charlie and the Chocolate Factory,12,79,13/07/2005,7,11941,150000000,17.926,,TRUE
The Croods,16,521,15/03/2013,6.9,5699,135000000,21.264,,TRUE
Battle: Los Angeles,878,5,08/03/2011,5.7,2754,70000000,10.869,,TRUE
Terminator Salvation,28,5,20/05/2009,6,5141,200000000,14.314,,TRUE
Child's Play,27,60,08/11/1988,6.6,2049,9000000,6.326,,TRUE
Grown Ups,35,5,24/06/2010,6.3,4677,80000000,7.896,,TRUE
Shrek 2,16,7,19/05/2004,7.2,9402,150000000,5.468,,TRUE
The King of Fighters,28,7414,26/08/2010,4.8,93,12000000,8.041,,FALSE
Call Me by Your Name,10749,16017,01/09/2017,8.3,9646,4000000,15.517,,TRUE
Cell 211,28,7345,06/11/2009,7.5,917,5700000,4.162,,TRUE
Thor: Ragnarok,28,420,25/10/2017,7.6,16774,180000000,16.885,,TRUE
In Time,28,10104,27/10/2011,6.9,9093,40000000,3.805,,TRUE
Love & Other Drugs,18,711,22/11/2010,7,3997,30000000,14.076,,TRUE
Cult of Chucky,27,17009,23/10/2017,5.8,810,6500000,16.443,,FALSE
Ted,35,33,29/06/2012,6.4,10189,50000000,24.719,,TRUE
Pacific Rim,28,101082,11/07/2013,6.8,10134,180000000,9.668,,TRUE
Space Sweepers,18,11589,05/02/2021,7.2,683,21000000,5.17,,FALSE
Ponyo,16,10342,19/07/2008,7.7,3010,41677699,0.6,,TRUE
The Town,80,923,15/09/2010,7.2,3790,37000000,7.925,,TRUE
John Wick: Chapter 3 - Parabellum,28,491,15/05/2019,7.4,7411,55000000,26.532,,TRUE
John Carter,28,2,07/03/2012,6.2,4492,250000000,10.573,,TRUE
The Conjuring 2,27,12,13/05/2016,7.3,6438,40000000,7.652,,TRUE
Scooby-Doo,9648,507,14/06/2002,6,3357,84000000,4.855,,TRUE
Ghostbusters II,35,5,16/06/1989,6.5,3204,37000000,15.162,,TRUE
The Little Mermaid,16,2,17/11/1989,7.4,6189,40000000,1.87,,TRUE
Those Who Wish Me Dead,53,13240,05/05/2021,6.9,940,20000000,14.372,,TRUE
Law Abiding Citizen,18,5257,15/10/2009,7.3,3779,53000000,9.973,,TRUE
Me Before You,18,12,01/06/2016,7.9,9544,20000000,15.356,,TRUE
Public Enemies,80,7295,01/07/2009,6.7,3462,100000000,17.926,,TRUE
The Expendables,53,7636,03/08/2010,6.2,6232,80000000,16.218,,TRUE
The Proposal,35,12536,01/06/2009,7.1,5109,40000000,14.727,,TRUE
Southpaw,28,8151,24/03/2015,7.4,4537,30000000,14.076,,TRUE
Tenet,28,174,22/08/2020,7.3,6352,205000000,6.271,,TRUE
Wreck-It Ralph,10751,6125,01/01/2012,7.3,10240,165000000,3.702,,TRUE
Just Go with It,35,5,10/02/2011,6.6,4446,80000000,7.896,,TRUE
The Lord of the Rings: The Fellowship of the Ring,12,12,18/12/2001,8.4,20065,93000000,9.587,,TRUE
Jumanji: The Next Level,12,5,04/12/2019,7,6432,125000000,49.662,,TRUE
Breathless,80,159323,11/08/2021,5.9,32,1200000,1.389,,FALSE
Clash of the Titans,12,80,31/03/2010,5.8,5076,125000000,7.894,,TRUE
Mulan,16,6125,18/06/1998,7.9,7673,90000000,5.254,,TRUE
Joker,80,174,02/10/2019,8.2,19137,55000000,10.781,,TRUE
TEKKEN,80,5882,20/03/2010,5.4,517,30000000,2.804,,FALSE
The Lion King,12,2,12/07/2019,7.2,8059,260000000,5.873,,TRUE
Willy's Wonderland,28,831,12/02/2021,6.5,394,5000000,21.264,,FALSE
The Hunger Games: Mockingjay - Part 1,878,1632,19/11/2014,6.8,13081,125000000,11.42,,TRUE
The Incredibles,28,3,27/10/2004,7.7,14553,92000000,2.547,,TRUE
Seed of Chucky,27,11050,11/11/2004,5.5,1095,12000000,16.443,,TRUE
Iron Man,28,420,30/04/2008,7.6,21671,140000000,20.481,,TRUE
Cinderella,10751,2,22/02/1950,7,5416,2900000,3.144,,TRUE
Spirit: Stallion of the Cimarron,37,521,24/05/2002,7.7,3623,80000000,17.865,,TRUE
Predators,878,1302,03/07/2010,6.2,2991,40000000,16.898,,TRUE
Ready Player One,878,56,28/03/2018,7.6,12213,175000000,5.933,,TRUE
The Hobbit: An Unexpected Journey,12,21,26/11/2012,7.3,15388,250000000,5.127,,TRUE
The Nightmare Before Christmas,14,8601,09/10/1993,7.8,7157,24000000,4.183,,TRUE
Maleficent: Mistress of Evil,10751,2,16/10/2019,7.4,4768,185000000,14.372,,TRUE
Inglourious Basterds,18,308,19/08/2009,8.2,17799,70000000,14.959,,TRUE
Peninsula,28,20064,15/07/2020,6.9,1728,17000000,5.072,,TRUE
Stand by Me Doraemon,16,882,08/08/2014,7.3,314,35000000,1.52,,TRUE
Corpse Bride,10749,8601,12/09/2005,7.5,6783,40000000,17.926,,TRUE
Skyfall,28,10761,25/10/2012,7.2,13008,200000000,20.533,,TRUE
American Pie Presents: The Book of Love,35,33,18/06/2009,5.3,1395,7000000,4.27,,FALSE
John Wick: Chapter 2,53,3528,08/02/2017,7.3,9669,40000000,26.532,,TRUE
Black Panther,28,420,13/02/2018,7.4,18215,200000000,7.847,,TRUE
Man of Steel,28,9993,12/06/2013,6.6,12618,225000000,22.561,,TRUE
Warrior,18,1632,09/09/2011,7.8,3448,25000000,6.493,,FALSE
Jurassic World,28,56,06/06/2015,6.7,17396,150000000,15.423,,TRUE
Dawn of the Planet of the Apes,878,22213,26/06/2014,7.3,9120,170000000,14.016,,TRUE
Toy Story 3,16,3,16/06/2010,7.8,11940,200000000,22.904,,TRUE
Snow White and the Seven Dwarfs,14,3166,04/02/1938,7.1,5932,1488423,1.356,,TRUE
The Tax Collector,28,10246,07/08/2020,5.7,333,30000000,1.847,,FALSE
The Great Wall,28,86433,16/12/2016,5.9,4065,150000000,17.865,,TRUE
Do You Do You Saint-Tropez,35,694,14/07/2021,4.9,34,16438275,6.182,,FALSE
Taken 3,53,6896,16/12/2014,6.2,4665,48000000,19.304,,TRUE
Ghostbusters,35,5,08/06/1984,7.4,6896,30000000,15.162,,TRUE
Captain America: The First Avenger,28,420,22/07/2011,7,17691,140000000,11.369,,TRUE
The Polar Express,16,1867,10/11/2004,6.7,4784,165000000,22.904,,TRUE
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),28,174,05/02/2020,7,8280,75000000,19.717,,TRUE
Titanic,18,4,18/11/1997,7.9,20110,200000000,19.353,,TRUE
Prometheus,878,444,30/05/2012,6.5,9834,130000000,16.519,,TRUE
Ice Age: Dawn of the Dinosaurs,16,9383,26/06/2009,6.7,6585,90000000,6.698,,TRUE
Twilight,14,491,20/11/2008,6.3,11086,37000000,22.187,,TRUE
Guardians of the Galaxy Vol. 2,12,420,19/04/2017,7.6,17438,200000000,15.423,,TRUE
Captain Marvel,28,420,06/03/2019,6.9,12221,152000000,14.574,,TRUE
Train to Busan,28,20064,20/07/2016,7.8,5245,8820000,11.079,,TRUE
Interstellar,12,923,05/11/2014,8.4,27122,165000000,11.322,,TRUE
Wrath of the Titans,14,3528,28/03/2012,5.7,3393,150000000,7.894,,TRUE
Fifty Shades Darker,18,33,08/02/2017,6.5,6491,55000000,9.619,,TRUE
Incredibles 2,28,2,14/06/2018,7.5,10446,200000000,2.547,,TRUE
Machine Gun Preacher,28,8852,23/09/2011,6.7,760,30000000,12.856,,FALSE
Jack Reacher: Never Go Back,28,82819,19/10/2016,5.8,3762,60000000,18.064,,TRUE
Green Lantern,12,9993,16/06/2011,5.2,5935,200000000,41.155,,TRUE
Thor: The Dark World,28,420,30/10/2013,6.6,14115,170000000,16.885,,TRUE
The Secret Life of Pets 2,12,33,24/05/2019,7,2321,80000000,8.72,,TRUE
Scary Movie,35,10958,07/07/2000,6.3,5197,19000000,12.685,,TRUE
Tangled,16,6125,24/11/2010,7.6,8969,260000000,5.617,,TRUE
The Lord of the Rings: The Return of the King,12,12,01/12/2003,8.5,18635,94000000,9.587,,TRUE
Hotel Transylvania,16,5,20/09/2012,7,6996,85000000,7.896,,TRUE
Grown Ups 2,35,5,11/07/2013,6.1,3236,80000000,7.896,,TRUE
The Last Duel,28,127928,13/10/2021,7.7,431,100000000,17.865,,FALSE
9,28,8601,19/08/2009,6.8,2787,30000000,9.587,,TRUE
Angels & Demons,53,5,13/05/2009,6.7,5540,150000000,22.904,,TRUE
Chappie,80,5,04/03/2015,6.8,6582,49000000,5.172,,TRUE
Batman v Superman: Dawn of Justice,28,174,23/03/2016,5.9,15276,250000000,7.925,,TRUE
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12,2,07/12/2005,7.1,8244,180000000,8.57,,TRUE
Hansel & Gretel: Witch Hunters,14,4,17/01/2013,6,5684,50000000,19.416,,TRUE
The Twilight Saga: Breaking Dawn - Part 2,12,491,13/11/2012,6.5,7375,120000000,22.187,,TRUE
Blitz,80,9987,20/05/2011,6.1,1223,15774948,36.825,,FALSE
Universal Soldier: Regeneration,12,21897,01/10/2009,5.6,322,14000000,17.56,,FALSE
Jonah Hex,28,174,18/06/2010,4.9,1104,47000000,12.628,,FALSE
District 9,878,559,05/08/2009,7.4,7503,30000000,5.172,,TRUE
Cars 3,16,3,15/06/2017,6.9,4240,175000000,0.694,,TRUE
Twist,80,127834,22/01/2021,6.1,124,2000000,0.6,,FALSE
The Nun,27,12,05/09/2018,5.8,4935,22000000,4.212,,TRUE
Let's Be Cops,35,28787,13/08/2014,6.4,2222,17000000,3.676,,TRUE
The Forgotten Battle,10752,122037,05/06/2021,7.3,224,14000000,5.99,,FALSE
Unknown,28,264,16/02/2011,6.6,3055,30000000,19.304,,TRUE
Men in Black: International,35,56,12/06/2019,6,3673,110000000,16.885,,TRUE
Finding Nemo,16,3,30/05/2003,7.8,15687,94000000,6.093,,TRUE
Bruised,18,101339,17/11/2021,6.8,43,11000000,14.122,,FALSE
Ralph Breaks the Internet,10751,2,20/11/2018,7.2,5902,175000000,3.702,,TRUE
Pokémon Detective Pikachu,28,923,03/05/2019,7,5261,150000000,41.155,,TRUE
Lilo & Stitch,16,2,21/06/2002,7.5,4751,80000000,3.533,,TRUE
Up,16,3,28/05/2009,7.9,16473,175000000,8.786,,TRUE
Penguins of Madagascar,10751,521,22/11/2014,6.5,3281,132000000,2.058,,TRUE
The Little Things,53,174,28/01/2021,6.4,1330,30000000,15.757,,FALSE
Prince of Persia: The Sands of Time,12,2,19/05/2010,6.2,5559,150000000,14.076,,TRUE
Garfield,16,1302,10/06/2004,5.6,3015,50000000,15.162,,TRUE
Men in Black 3,28,5,23/05/2012,6.5,8549,225000000,20.242,,TRUE
Spectre,28,5,26/10/2015,6.5,8722,245000000,20.533,,TRUE
Cars 2,16,3,11/06/2011,6,5905,200000000,23.511,,TRUE
Maleficent,14,2,28/05/2014,7.1,11275,180000000,14.372,,TRUE
Terminator Genisys,878,82819,23/06/2015,5.9,6941,155000000,18.005,,TRUE
Jurassic World: Fallen Kingdom,28,56,06/06/2018,6.6,9359,170000000,15.423,,TRUE
The Hangover Part II,35,923,25/05/2011,6.4,8518,80000000,11.726,,TRUE
The Purge: Election Year,28,729,29/06/2016,6.4,4291,10000000,10.447,,TRUE
The Green Knight,14,41077,29/07/2021,6.6,592,15000000,10.469,,TRUE
The Good Dinosaur,12,3,14/11/2015,6.7,4414,175000000,8.89,,TRUE
The Lord of the Rings: The Two Towers,12,12,18/12/2002,8.4,17335,79000000,9.587,,TRUE
Pirates of the Caribbean: The Curse of the Black Pearl,12,2,09/07/2003,7.8,16682,140000000,17.926,,TRUE
Child's Play,27,87671,19/06/2019,6,1429,10000000,5.558,,TRUE
Hotel Transylvania 2,10751,34,21/09/2015,6.8,4561,80000000,7.896,,TRUE
17 Again,35,12,11/03/2009,6.3,4149,20000000,9.517,,TRUE
Dinosaur,10751,6125,19/05/2000,6.5,1896,127500000,3.987,,TRUE
Sucker Punch,28,923,24/03/2011,6.1,3796,82000000,10.732,,TRUE
Yes Man,35,80,09/12/2008,6.6,5321,70000000,16.29,,TRUE
Parasite,35,4399,30/05/2019,8.5,12576,11363000,4.252,,TRUE
Bohemian Rhapsody,10402,3281,24/10/2018,8,13940,52000000,17.031,,TRUE
Sex Tape,35,1423,17/07/2014,5.4,3527,40000000,9.635,,TRUE
Monkey King: Hero Is Back,14,59387,10/07/2015,7,156,10000000,0.6,,TRUE
Scary Movie 5,35,7405,11/04/2013,4.8,2204,20000000,3.85,,TRUE
The Intouchables,18,9,02/11/2011,8.3,14012,13000000,1.895,,TRUE
Chronicle,878,444,01/02/2012,6.8,4154,15000000,9.843,,TRUE
Pirates of the Caribbean: At World's End,12,130,19/05/2007,7.2,11468,300000000,17.926,,TRUE
Ice Age: Continental Drift,16,9383,27/06/2012,6.3,6156,95000000,6.698,,TRUE
The First Purge,28,2481,04/07/2018,6,3172,13000000,9.833,,TRUE
The Hobbit: The Desolation of Smaug,14,174,11/12/2013,7.6,10523,250000000,5.127,,TRUE
