results/title,results/features/0/genre_ids,results/features/0/production_companies/0,results/features/0/release_date,results/features/0/vote_average,results/features/0/vote_count,results/features/0/budget,results/features/0/star_popularity,labels
Knowing,28,491,19/03/2009,6.1,4095,50000000,12.579,TRUE
How I Became a Superhero,878,120768,19/11/2020,6.1,302,18000000,1.15,FALSE
Harry Potter and the Philosopher's Stone,12,174,16/11/2001,7.9,21439,125000000,9.526,TRUE
Resident Evil: Welcome to Raccoon City,27,47,24/11/2021,6.6,18,40000000,13.292,FALSE
The Conjuring: The Devil Made Me Do It,27,12,25/05/2021,7.7,3911,39000000,10.505,TRUE
The Forever Purge,27,3172,30/06/2021,7.4,1430,18000000,6.644,TRUE
Wonder Woman 1984,28,9993,16/12/2020,6.6,6161,200000000,29.755,FALSE
The Marksman,28,80292,15/01/2021,7.1,975,23000000,13.321,FALSE
The Unholy,27,768,31/03/2021,6.9,1431,10000000,7.57,TRUE
Coco,10751,3,27/10/2017,8.2,14863,175000000,0.694,TRUE
The Avengers,878,420,25/04/2012,7.7,25744,220000000,16.608,TRUE
A Quiet Place Part II,878,4,21/05/2021,7.7,3363,61000000,16.151,TRUE
Monster Hunter,28,7220,03/12/2020,6.9,2264,60000000,13.088,FALSE
The Last: Naruto the Movie,28,2883,06/12/2014,7.9,1080,1000000,4.525,TRUE
Tom & Jerry,35,25120,11/02/2021,7.1,1847,50000000,37.68,TRUE
House of Gucci,18,1645,24/11/2021,7.5,27,75000000,7.732,FALSE
Harry Potter and the Chamber of Secrets,12,174,13/11/2002,7.7,17302,100000000,9.526,TRUE
Avengers: Endgame,12,420,24/04/2019,8.3,19567,356000000,16.608,TRUE
Harry Potter and the Goblet of Fire,12,174,16/11/2005,7.8,16347,150000000,9.526,TRUE
Harry Potter and the Deathly Hallows: Part 2,14,174,07/07/2011,8.1,16446,125000000,9.526,TRUE
Soul,16,2,25/12/2020,8.2,7238,150000000,11.305,FALSE
Harry Potter and the Prisoner of Azkaban,12,174,31/05/2004,8,17008,130000000,9.526,TRUE
Hancock,14,41756,01/07/2008,6.3,7704,150000000,18.744,TRUE
Harry Potter and the Deathly Hallows: Part 1,12,174,17/10/2010,7.8,15255,250000000,9.526,TRUE
The SpongeBob Movie: Sponge on the Run,10751,8921,14/08/2020,7.7,2352,60000000,3.99,FALSE
Malignant,27,174,01/09/2021,7,1047,40000000,21.101,FALSE
Harry Potter and the Half-Blood Prince,12,174,07/07/2009,7.7,15326,250000000,9.526,TRUE
Spirit Untamed,16,33,20/05/2021,7.7,297,30000000,14.77,FALSE
Major Grom: Plague Doctor,28,86050,01/04/2021,6.8,351,5000000,1.689,FALSE
Night Teeth,27,84988,20/10/2021,6.7,338,21700000,4.28,FALSE
Roald Dahl's The Witches,10751,11395,25/10/2020,6.5,1970,45,14.354,FALSE
My Hero Academia: Two Heroes,16,2849,03/08/2018,8,684,12000000,6.538,TRUE
Harry Potter and the Order of the Phoenix,12,174,28/06/2007,7.7,15564,150000000,9.526,TRUE
Peter Rabbit 2: The Runaway,10751,5,25/03/2021,7.4,443,45000000,2.107,TRUE
Mulan,12,2,04/09/2020,7,5268,200000000,13.817,FALSE
Crank: High Voltage,28,1632,16/04/2009,6,2132,20000000,31.819,TRUE
Dragon Ball Z: Resurrection 'F',28,7485,18/04/2015,6.8,1247,5000000,3.851,TRUE
The Twilight Saga: Eclipse,12,491,23/06/2010,6.2,7181,68000000,28.263,TRUE
The Maze Runner,28,290,10/09/2014,7.2,14027,34000000,6.752,TRUE
Undisputed III: Redemption,28,50457,22/05/2010,7.5,571,3000000,10.314,FALSE
Hacksaw Ridge,18,50481,07/10/2016,8.2,10200,40000000,52.569,TRUE
Iron Man 2,12,420,28/04/2010,6.8,16988,200000000,16.608,TRUE
Deadpool,28,25,09/02/2016,7.6,25809,58000000,56.571,TRUE
The Wolf of Wall Street,80,14654,25/12/2013,8,18672,100000000,17.509,TRUE
Journey 2: The Mysterious Island,12,10221,19/01/2012,6.1,3314,79000000,55.535,TRUE
Legion,27,3287,21/01/2010,5.8,1941,26000000,5.062,TRUE
Jiu Jitsu,14,141998,20/11/2020,5.1,448,23000000,12.579,FALSE
Sing,10751,6704,23/11/2016,7.1,6315,75000000,9.849,TRUE
Nobody,28,33,18/03/2021,8.3,3685,17000000,7.008,TRUE
Kids Are Back,35,21172,02/06/2021,5.4,28,8116935,0.84,FALSE
Werewolves Within,35,83857,25/06/2021,6.2,200,6500000,2.672,FALSE
Percy Jackson & the Olympians: The Lightning Thief,12,436,01/02/2010,6.2,6043,95000000,5.789,TRUE
Five Feet Apart,10749,84409,14/03/2019,8.4,4489,7000000,4.098,TRUE
The Grinch,16,33,08/11/2018,6.8,2706,75000000,17.327,TRUE
Frozen II,10751,2,20/11/2019,7.3,7777,150000000,8.124,TRUE
Captain America: Civil War,12,420,27/04/2016,7.4,18887,250000000,9.508,TRUE
Toy Story,16,3,30/10/1995,8,14706,30000000,24.633,TRUE
Ted 2,35,44783,25/06/2015,6.3,5927,68000000,21.262,TRUE
The Hobbit: The Battle of the Five Armies,28,174,10/12/2014,7.3,11475,250000000,7.372,TRUE
Teenage Mutant Ninja Turtles,878,2348,07/08/2014,5.9,5644,125000000,14.324,TRUE
How the Grinch Stole Christmas,10751,33,17/11/2000,6.7,5559,123000000,11.514,TRUE
Avengers: Age of Ultron,28,420,22/04/2015,7.3,18831,250000000,16.608,TRUE
Sex and the City,35,1694,12/05/2008,6.6,1712,65000000,4.828,TRUE
The Lion King,10751,2,23/06/1994,8.3,14658,45000000,3.247,TRUE
Ashfall,28,103323,19/12/2019,6.4,331,17700000,7.602,TRUE
Ghostbusters,28,84042,14/07/2016,5.4,5229,144000000,10.307,TRUE
Star Trek,878,4,06/05/2009,7.4,8224,150000000,9.949,TRUE
Shrek,16,521,18/05/2001,7.7,13131,60000000,6.968,TRUE
Spider-Man 2,28,19551,25/06/2004,7.1,11624,200000000,11.329,TRUE
"Monsters, Inc.",16,3,01/11/2001,7.8,14853,115000000,9.99,TRUE
Ninja Assassin,28,923,29/09/2009,6.5,1058,40000000,1.317,TRUE
Pirates of the Caribbean: On Stranger Tides,12,2,14/05/2011,6.5,11398,380000000,18.006,TRUE
Real Steel,28,9195,28/09/2011,6.9,6347,110000000,20.496,TRUE
Battle: Los Angeles,878,5,08/03/2011,5.7,2753,70000000,8.025,TRUE
Fast & Furious Presents: Hobbs & Shaw,28,25998,01/08/2019,6.9,5448,200000000,55.535,TRUE
The Kids Are Alright: Destination Asturias,35,91991,08/07/2021,4.6,35,5308245,1.376,FALSE
The Hangover,35,923,02/06/2009,7.3,13876,35000000,9.837,TRUE
Dawn of the Planet of the Apes,878,22213,26/06/2014,7.3,9117,170000000,9.923,TRUE
It Chapter Two,27,2723,04/09/2019,6.9,6459,79000000,12.203,TRUE
Frozen,16,2,20/11/2013,7.3,13684,150000000,8.124,TRUE
Chronicle,878,444,01/02/2012,6.8,4152,15000000,8.249,TRUE
Candyman,27,21,25/08/2021,6.3,618,25000000,2.744,TRUE
The Last Airbender,28,4,30/06/2010,4.7,3104,150000000,2.625,TRUE
Toy Story 4,10751,2,19/06/2019,7.6,7509,175000000,24.633,TRUE
Bride of Chucky,27,33,16/10/1998,5.9,1314,25000000,8.936,TRUE
Deadpool 2,28,7505,10/05/2018,7.5,13960,110000000,56.571,TRUE
Inception,28,923,15/07/2010,8.3,30291,160000000,17.509,TRUE
Doctor Strange,28,420,25/10/2016,7.4,17792,165000000,17.327,TRUE
Sonic the Hedgehog,28,333,12/02/2020,7.4,7265,85000000,3.199,TRUE
Thor,12,420,21/04/2011,6.8,17333,150000000,13.942,TRUE
Escape Room: Tournament of Champions,27,333,01/07/2021,6.9,744,15000000,5.131,TRUE
The Karate Kid,28,2596,10/06/2010,6.5,4673,40000000,3.903,TRUE
Abraham Lincoln: Vampire Hunter,28,1038,20/06/2012,5.7,2637,69000000,1.613,TRUE
Fifty Shades of Grey,18,10146,11/02/2015,5.9,9885,40000000,7.005,TRUE
The Last Duel,28,127928,13/10/2021,7.7,427,100000000,18.609,FALSE
Este amor es de otro planeta,35,2864,31/03/2021,4.5,2,720000,0.6,FALSE
Ice Age,16,25,10/03/2002,7.3,10540,59000000,2.548,TRUE
G.I. Joe: The Rise of Cobra,12,4,03/08/2009,5.7,3752,175000000,7.92,TRUE
Cell 211,28,7345,06/11/2009,7.5,915,5700000,4.482,TRUE
Cirque du Freak: The Vampire's Assistant,12,33,23/10/2009,5.7,843,40000000,1.751,FALSE
Pixels,28,5,16/07/2015,5.7,6210,88000000,9.491,TRUE
Chaos Walking,878,80680,24/02/2021,6.8,1374,125000000,45.338,FALSE
Grown Ups,35,5,24/06/2010,6.3,4674,80000000,9.491,TRUE
Child's Play,27,60,08/11/1988,6.6,2047,9000000,3.539,TRUE
Thor: Ragnarok,28,420,25/10/2017,7.6,16768,180000000,13.942,TRUE
Transformers: Age of Extinction,878,22826,25/06/2014,5.9,6416,210000000,21.262,TRUE
Fury,10752,5,15/10/2014,7.5,9487,68000000,21.308,TRUE
Fifty Shades Freed,18,33,17/01/2018,6.7,6595,55000000,7.005,TRUE
Men in Black: International,35,56,12/06/2019,6,3668,110000000,13.942,TRUE
Spiral: From the Book of Saw,27,2061,12/05/2021,6.3,964,20000000,3.527,TRUE
Law Abiding Citizen,18,5257,15/10/2009,7.3,3778,53000000,11.305,TRUE
World War Z,28,3281,20/06/2013,6.8,12501,200000000,21.308,TRUE
Cult of Chucky,27,17009,23/10/2017,5.8,810,6500000,9.302,FALSE
Home Alone 2: Lost in New York,35,25,19/11/1992,6.7,7314,18000000,7.758,TRUE
The Expendables,53,7636,03/08/2010,6.2,6230,80000000,18.24,TRUE
The Croods,16,521,15/03/2013,6.9,5697,135000000,12.579,TRUE
After Porn Ends 2,99,86249,28/03/2017,5.5,185,500000,8.133,FALSE
The King of Fighters,28,7414,26/08/2010,4.8,92,12000000,9.218,FALSE
In Time,28,10104,27/10/2011,6.9,9086,40000000,6.211,TRUE
Ghostbusters II,35,5,16/06/1989,6.5,3197,37000000,10.492,TRUE
Ghostbusters,35,5,08/06/1984,7.4,6888,30000000,10.492,TRUE
Toy Story 2,16,3,30/10/1999,7.6,11046,90000000,24.633,TRUE
Shrek 2,16,7,19/05/2004,7.2,9393,150000000,6.968,TRUE
The Simpsons Movie,16,80853,25/07/2007,7,6469,75000000,10.434,TRUE
Tenet,28,174,22/08/2020,7.3,6343,205000000,2.285,TRUE
Skyfall,28,10761,25/10/2012,7.2,13001,200000000,24.637,TRUE
Scooby-Doo,9648,507,14/06/2002,6,3355,84000000,3.353,TRUE
Iron Man 3,28,420,18/04/2013,6.9,18589,200000000,16.608,TRUE
Hotel Transylvania 3: Summer Vacation,10751,5,28/06/2018,6.9,3354,80000000,9.491,TRUE
Joker,80,174,02/10/2019,8.2,19120,55000000,5.568,TRUE
Ted,35,33,29/06/2012,6.4,10187,50000000,21.262,TRUE
Pacific Rim,28,101082,11/07/2013,6.8,10132,180000000,8.012,TRUE
Seed of Chucky,27,11050,11/11/2004,5.5,1094,12000000,9.302,TRUE
Big Hero 6,12,2,24/10/2014,7.8,13153,165000000,3.541,TRUE
Ratatouille,16,3,28/06/2007,7.8,13238,150000000,9.472,TRUE
Just Go with It,35,5,10/02/2011,6.6,4443,80000000,9.491,TRUE
Breathless,80,159323,11/08/2021,5.9,32,1200000,0.84,FALSE
Terminator Salvation,28,5,20/05/2009,6,5141,200000000,14.445,TRUE
Love & Other Drugs,18,711,22/11/2010,7,3993,30000000,12.898,TRUE
The Hobbit: An Unexpected Journey,12,21,26/11/2012,7.3,15376,250000000,7.372,TRUE
Ready Player One,878,56,28/03/2018,7.6,12202,175000000,4.758,TRUE
2012,28,5,10/10/2009,5.8,10026,200000000,7.774,TRUE
Iron Man,28,420,30/04/2008,7.6,21661,140000000,16.608,TRUE
TEKKEN,80,5882,20/03/2010,5.4,517,30000000,2.209,FALSE
The Lion King,12,2,12/07/2019,7.2,8051,260000000,5.027,TRUE
Charlie and the Chocolate Factory,12,79,13/07/2005,7,11933,150000000,18.006,TRUE
The Proposal,35,12536,01/06/2009,7.1,5104,40000000,9.315,TRUE
Peninsula,28,20064,15/07/2020,6.9,1726,17000000,2.916,TRUE
The Conjuring,27,31375,20/03/2013,7.5,8870,13000000,16.961,TRUE
The Parent Trap,35,2,28/07/1998,7.1,3073,15000000,4.813,TRUE
Zack and Miri Make a Porno,35,2599,18/09/2008,6.3,1770,24000000,4.185,TRUE
Predators,878,1302,03/07/2010,6.2,2990,40000000,10.884,TRUE
Spectre,28,5,26/10/2015,6.5,8713,245000000,24.637,TRUE
Those Who Wish Me Dead,53,13240,05/05/2021,6.9,939,20000000,15.542,TRUE
Warrior,18,1632,09/09/2011,7.8,3443,25000000,5.526,FALSE
San Andreas,28,12,27/05/2015,6.2,6894,110000000,55.535,TRUE
Me Before You,18,12,01/06/2016,7.9,9532,20000000,11.097,TRUE
Public Enemies,80,7295,01/07/2009,6.7,3458,100000000,18.006,TRUE
Call Me by Your Name,10749,16017,01/09/2017,8.3,9638,4000000,19.76,TRUE
Coraline,16,10146,05/02/2009,7.8,5383,60000000,7.951,TRUE
Ponyo,16,10342,19/07/2008,7.7,3006,41677699,0.972,TRUE
Dirty Grandpa,35,73666,20/01/2016,5.9,3632,11500000,9.064,TRUE
John Wick: Chapter 3 - Parabellum,28,491,15/05/2019,7.4,7405,55000000,30.496,TRUE
Willy's Wonderland,28,831,12/02/2021,6.5,393,5000000,12.579,FALSE
Inglourious Basterds,18,308,19/08/2009,8.2,17789,70000000,21.308,TRUE
American Pie Presents: The Book of Love,35,33,18/06/2009,5.3,1392,7000000,3.452,FALSE
The Town,80,923,15/09/2010,7.2,3787,37000000,9.363,TRUE
Mulan,16,6125,18/06/1998,7.9,7666,90000000,6.143,TRUE
The Twilight Saga: Breaking Dawn - Part 2,12,491,13/11/2012,6.5,7368,120000000,28.263,TRUE
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),28,174,05/02/2020,7,8276,75000000,15.302,TRUE
Prometheus,878,444,30/05/2012,6.5,9826,130000000,12.107,TRUE
John Carter,28,2,07/03/2012,6.2,4491,250000000,4.648,TRUE
The Lord of the Rings: The Fellowship of the Ring,12,12,18/12/2001,8.4,20050,93000000,7.521,TRUE
Bad Boys for Life,53,5,15/01/2020,7.2,6662,90000000,18.744,TRUE
Clash of the Titans,12,80,31/03/2010,5.9,5069,125000000,10.722,TRUE
Fifty Shades Darker,18,33,08/02/2017,6.5,6487,55000000,7.005,TRUE
Thor: The Dark World,28,420,30/10/2013,6.6,14110,170000000,13.942,TRUE
Captain Marvel,28,420,06/03/2019,6.9,12210,152000000,9.317,TRUE
Cinderella,10751,2,22/02/1950,7,5409,2900000,3.147,TRUE
Ice Age: Dawn of the Dinosaurs,16,9383,26/06/2009,6.7,6583,90000000,2.548,TRUE
Jurassic World,28,56,06/06/2015,6.7,17387,150000000,13.45,TRUE
The Magnificent Seven,12,1423,14/09/2016,6.3,4820,90000000,14.704,TRUE
Captain America: The First Avenger,28,420,22/07/2011,7,17681,140000000,9.508,TRUE
Let's Be Cops,35,28787,13/08/2014,6.4,2220,17000000,3.462,TRUE
The Green Knight,12,41077,29/07/2021,6.6,576,15000000,7.435,TRUE
Maleficent: Mistress of Evil,10751,2,16/10/2019,7.4,4762,185000000,15.542,TRUE
The Hunger Games: Mockingjay - Part 1,878,1632,19/11/2014,6.8,13072,125000000,14.078,TRUE
Corpse Bride,10749,8601,12/09/2005,7.5,6778,40000000,18.006,TRUE
Train to Busan,28,20064,20/07/2016,7.8,5236,8820000,14.463,TRUE
Interstellar,12,923,05/11/2014,8.4,27106,165000000,9.849,TRUE
Angels & Demons,53,5,13/05/2009,6.7,5535,150000000,24.633,TRUE
John Wick: Chapter 2,53,3528,08/02/2017,7.3,9660,40000000,30.496,TRUE
Grown Ups 2,35,5,11/07/2013,6.1,3231,80000000,9.491,TRUE
Twilight,14,491,20/11/2008,6.3,11077,37000000,28.263,TRUE
Black Panther,28,420,13/02/2018,7.4,18204,200000000,9.138,TRUE
The Nightmare Before Christmas,14,8601,09/10/1993,7.8,7150,24000000,3.811,TRUE
Jumanji: The Next Level,12,5,04/12/2019,7,6427,125000000,55.535,TRUE
The Hangover Part II,35,923,25/05/2011,6.4,8517,80000000,9.837,TRUE
Snow White and the Seven Dwarfs,14,3166,04/02/1938,7.1,5924,1488423,1.92,TRUE
Twist,80,127834,22/01/2021,6.1,124,2000000,0.6,FALSE
Titanic,18,4,18/11/1997,7.9,20098,200000000,17.509,TRUE
Prince of Persia: The Sands of Time,12,2,19/05/2010,6.2,5558,150000000,12.898,TRUE
Blitz,80,9987,20/05/2011,6.1,1221,15774948,31.819,FALSE
Taken 3,53,6896,16/12/2014,6.2,4663,48000000,13.321,TRUE
Wrath of the Titans,14,3528,28/03/2012,5.7,3393,150000000,10.722,TRUE
The New Mutants,27,7505,26/08/2020,6.3,2406,67000000,6.221,FALSE
Jonah Hex,28,174,18/06/2010,4.9,1104,47000000,13.337,FALSE
Space Sweepers,18,11589,05/02/2021,7.2,683,21000000,4.397,FALSE
Men in Black 3,28,5,23/05/2012,6.5,8546,225000000,18.744,TRUE
The Hobbit: The Desolation of Smaug,14,174,11/12/2013,7.6,10513,250000000,7.372,TRUE
Pirates of the Caribbean: Dead Man's Chest,12,2,06/07/2006,7.3,12795,200000000,18.006,TRUE
Jurassic World: Fallen Kingdom,28,56,06/06/2018,6.6,9351,170000000,13.45,TRUE
The Hangover Part III,35,3527,23/05/2013,6.2,7060,103000000,9.837,TRUE
The Polar Express,16,1867,10/11/2004,6.7,4780,165000000,24.633,TRUE
Den of Thieves,28,2995,18/01/2018,6.7,2166,30000000,13.78,TRUE
The Secret Life of Pets 2,12,33,24/05/2019,7,2315,80000000,9.472,TRUE
Guardians of the Galaxy Vol. 2,12,420,19/04/2017,7.6,17427,200000000,13.45,TRUE
Child's Play,27,87671,19/06/2019,6,1428,10000000,6.774,TRUE
Toy Story 3,16,3,16/06/2010,7.8,11932,200000000,24.633,TRUE
Machine Gun Preacher,28,8852,23/09/2011,6.7,759,30000000,13.78,FALSE
The Lord of the Rings: The Two Towers,12,12,18/12/2002,8.4,17325,79000000,7.521,TRUE
The Fate of the Furious,28,33,12/04/2017,6.9,8623,250000000,21.079,TRUE
The Lord of the Rings: The Return of the King,12,12,01/12/2003,8.5,18620,94000000,7.521,TRUE
Cars 3,16,3,15/06/2017,6.9,4240,175000000,1.285,TRUE
The Little Mermaid,16,2,17/11/1989,7.4,6179,40000000,1.96,TRUE
Maleficent,14,2,28/05/2014,7.1,11269,180000000,15.542,TRUE
Spirit: Stallion of the Cimarron,37,521,24/05/2002,7.7,3617,80000000,18.609,TRUE
Universal Soldier: Regeneration,12,21897,01/10/2009,5.6,322,14000000,13.147,FALSE
Salt,28,11845,21/07/2010,6.4,4406,110000000,15.542,TRUE
Cherry,18,106544,26/02/2021,7.5,800,40000000,45.338,FALSE
The Tax Collector,28,10246,07/08/2020,5.7,332,30000000,1.236,FALSE
Southpaw,28,8151,24/03/2015,7.4,4532,30000000,12.898,TRUE
Curse of Chucky,27,17009,04/10/2013,5.9,1135,5000000,9.302,FALSE
Scary Movie,35,10958,07/07/2000,6.3,5192,19000000,11.66,TRUE
Pirates of the Caribbean: At World's End,12,130,19/05/2007,7.2,11461,300000000,18.006,TRUE
Transformers: The Last Knight,28,22826,16/06/2017,6.1,4726,217000000,21.262,TRUE
Pokémon Detective Pikachu,28,923,03/05/2019,7,5257,150000000,56.571,TRUE
District 9,878,559,05/08/2009,7.4,7494,30000000,3.707,TRUE
Terminator Genisys,878,82819,23/06/2015,5.9,6937,155000000,17.394,TRUE
A Quiet Place,27,4,03/04/2018,7.4,10963,17000000,16.151,TRUE
Fantastic Beasts and Where to Find Them,12,437,16/11/2016,7.3,15823,180000000,7.631,TRUE
Man of Steel,28,9993,12/06/2013,6.6,12613,225000000,23.239,TRUE
The Little Things,53,174,28/01/2021,6.4,1326,30000000,14.704,FALSE
The Forgotten Battle,10752,122037,05/06/2021,7.3,218,14000000,8.358,FALSE
The Matrix,28,79,30/03/1999,8.2,20258,63000000,30.496,TRUE
Child's Play 2,27,33,09/11/1990,6.2,1257,13000000,2.938,TRUE
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12,2,07/12/2005,7.1,8234,180000000,7.061,TRUE
The Emperor's New Groove,12,6125,15/12/2000,7.6,5193,100000000,4.022,TRUE
The Conjuring 2,27,12,13/05/2016,7.3,6433,40000000,10.505,TRUE
Bohemian Rhapsody,10402,3281,24/10/2018,8,13922,52000000,18.655,TRUE
Shazam!,28,9993,29/03/2019,7.1,7060,80000000,6.567,TRUE
Kung Fu Panda,28,521,04/06/2008,7.2,8862,130000000,9.183,TRUE
The Grey,18,10427,14/09/2011,6.6,3068,25000000,13.321,TRUE
Sex Tape,35,1423,17/07/2014,5.4,3526,40000000,7.129,TRUE
Green Lantern,12,9993,16/06/2011,5.2,5932,200000000,56.571,TRUE
The Incredibles,28,3,27/10/2004,7.7,14545,92000000,3.509,TRUE
Wreck-It Ralph,10751,6125,01/01/2012,7.3,10232,165000000,6.312,TRUE
Garfield,16,1302,10/06/2004,5.6,3012,50000000,10.492,TRUE
12 Rounds,28,1557,19/03/2009,5.9,570,20000000,10.356,FALSE
Taken 2,28,6896,27/09/2012,6.3,5431,45000000,13.321,TRUE
17 Again,35,12,11/03/2009,6.3,4146,20000000,9.064,TRUE
Special Forces,28,24455,02/11/2011,6.7,399,10000000,4.879,FALSE
Child's Play 3,27,33,30/08/1991,5.9,1082,13000000,2.765,TRUE
Hotel Transylvania 2,10751,34,21/09/2015,6.8,4556,80000000,9.491,TRUE
Pirates of the Caribbean: The Curse of the Black Pearl,12,2,09/07/2003,7.8,16674,140000000,18.006,TRUE
Pacific Rim: Uprising,28,923,21/03/2018,6.1,3802,150000000,2.138,TRUE
Cars 2,16,3,11/06/2011,6,5899,200000000,21.902,TRUE
TRON: Legacy,12,76043,14/12/2010,6.4,5764,170000000,1.261,TRUE
Season of the Witch,12,507,07/01/2011,5.4,1924,40000000,12.579,TRUE
Furious 7,28,87857,01/04/2015,7.3,8777,190000000,21.079,TRUE
Ghost Rider: Spirit of Vengeance,28,5,11/12/2011,5,2940,57000000,12.579,TRUE
The First Purge,28,2481,04/07/2018,6,3170,13000000,12.914,TRUE
Parasite,35,4399,30/05/2019,8.5,12550,11363000,2.636,TRUE
Pinocchio,16,3166,23/02/1940,7.1,4627,2600000,1.4,TRUE
Zootopia,16,6125,11/02/2016,7.7,13423,150000000,9.561,TRUE
Need for Speed,28,76043,12/03/2014,6.3,3420,66000000,6.858,TRUE
Unknown,28,264,16/02/2011,6.6,3055,30000000,13.321,TRUE
Yes Man,35,80,09/12/2008,6.6,5318,70000000,11.514,TRUE
Hotel Transylvania,16,5,20/09/2012,7,6992,85000000,9.491,TRUE
Up,16,3,28/05/2009,7.9,16464,175000000,6.459,TRUE
Jack Reacher,80,82819,20/12/2012,6.5,5473,60000000,17.341,TRUE
Stand by Me Doraemon,16,882,08/08/2014,7.3,313,35000000,1.293,TRUE
Chappie,80,5,04/03/2015,6.8,6576,49000000,3.707,TRUE
Super 8,53,11461,08/06/2011,6.7,5439,50000000,3.331,TRUE
